Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rathayibacter,,73,0.001
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Flexibacteraceae,Dyadobacter,,72,0.001
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,,,72,0.001
Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,atlanticus,71,0.001
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,durum,70,0.001
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,,70,0.001
Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Dolichospermum,,70,0.001
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Caldicellulosiruptoraceae,Caldicellulosiruptor,,70,0.001
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,hungatei,69,0.001
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Flammeovirgaceae,Flammeovirga,pacifica,69,0.001
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,,,69,0.001
